trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,key_resp.started,fixation.stopped,trial.stopped,tilt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
61,0,61,0,100.96041230000264,,100.94879560000845,100.96041230000264,101.96007480000844,101.96007480000844,102.47874630001024,4,down,1,0.5068599999940488,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
62,0,62,0,102.49355150001065,,102.48151500000677,102.49355150001065,103.49327540000377,103.49327540000377,103.96122040000046,-5,up,0,0.46310730000550393,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
63,0,63,0,103.97651220000989,,103.96345660000225,103.97651220000989,104.97662950000085,104.97662950000085,105.29462650000642,0,up,1,0.31362699999590404,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
64,0,64,0,105.30922049999936,,105.29745990000083,105.30922049999936,106.30950880001183,106.30950880001183,106.67727920001198,0,up,1,0.35185839999758173,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
65,0,65,0,106.69246330000169,,106.68010850000428,106.69246330000169,107.69243750000896,107.69243750000896,108.27780940000957,0,up,1,0.5793313000031048,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
66,0,66,0,108.29208970000036,,108.28054110000085,108.29208970000036,109.2923768000037,109.2923768000037,109.71082500000193,0,up,1,0.40187329999753274,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
67,0,67,0,109.72545920000994,,109.71332220001204,109.72545920000994,110.72535370000696,110.72535370000696,111.19409630000882,0,up,1,0.46553790000325534,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
68,0,68,0,111.20818350001355,,111.19688339999993,111.20818350001355,112.20810050000728,112.20810050000728,112.75973360000353,3,down,1,0.5390348999935668,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
69,0,69,0,112.77457570000843,,112.76234600000316,112.77457570000843,113.7748636000033,113.7748636000033,114.21065839999937,-3,up,0,0.4227719999908004,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
70,0,70,0,114.22425020000082,,114.21372250000422,114.22425020000082,115.22440440001083,115.22440440001083,115.5924776000029,0,up,1,0.3630319999938365,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
71,0,71,0,115.60703600000124,,115.5952391000028,115.60703600000124,116.60719700000482,116.60719700000482,116.89245560001291,-1,up,0,0.27932760000112467,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
72,0,72,0,116.90696520000347,,116.89495180000085,116.90696520000347,117.90719270000409,117.90719270000409,118.52413590000651,3,down,1,0.6084101999877021,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
73,0,73,0,118.53984490000585,,118.52697380000609,118.53984490000585,119.5399643000128,119.5399643000128,120.35831160000816,-3,up,0,0.8147483999928227,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
74,0,74,0,120.37352490000194,,120.36057699999947,120.37352490000194,121.37309560000722,121.37309560000722,121.97593410000263,-2,up,0,0.5932362000021385,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
75,0,75,0,121.98925920001057,,121.97881749999942,121.98925920001057,122.98937770001066,122.98937770001066,123.57419070000469,-2,down,1,0.5770714999962365,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
76,0,76,0,123.58878140000161,,123.57724750001216,123.58878140000161,124.58890300001076,124.58890300001076,125.08964280001237,0,up,1,0.49207989999558777,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
77,0,77,0,125.105177800011,,125.09151930001099,125.105177800011,126.10481360000267,126.10481360000267,126.59072870000091,-2,up,0,0.47305749999941327,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
78,0,78,0,126.60477580000588,,126.5944077000022,126.60477580000588,127.60479310000665,127.60479310000665,128.106950100002,-2,up,0,0.48973889999615494,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
79,0,79,0,128.12135610000405,,128.10978860000614,128.12135610000405,129.12130110000726,129.12130110000726,129.8738341999997,1,down,1,0.7453604000038467,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
80,0,80,0,129.8875979000004,,129.87677560000157,129.8875979000004,130.88773740000033,130.88773740000033,131.42245820000244,-2,down,1,0.5237489999999525,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
81,0,81,0,131.43721740000183,,131.425135700003,131.43721740000183,132.43699760000163,132.43699760000163,132.97335670000757,1,up,0,0.5322580999927595,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
82,0,82,0,132.98690600000555,,132.9763859000086,132.98690600000555,133.98706010000024,133.98706010000024,134.58747170001152,1,down,1,0.5854407000006177,None,458328,001,2024-09-14_09h35.22.175,signal detection,2024.1.5,None,2024-09-14 09h35.29.869636 +0530,
